"genome","metabolite","methanogen","weight_genome_metab","weight_metab_methanogen","sign_genome_metab","sign_metab_methanogen"
"SPRUCE 275","RP_1.632_360.14986","SPRUCE 2026",0.0268433531877067,-0.020111343475154,"positive","negative"
"SPRUCE 275","RP_11.548_249.11198","SPRUCE 2026",0.0137896736839512,-0.0703505840097336,"positive","negative"
"SPRUCE 275","RP_11.741_249.11198","SPRUCE 556",0.0190454673492216,-0.011430016124893,"positive","negative"
"SPRUCE 275","RP_5.641_174.12357","SPRUCE 510",0.0138516781579429,-0.0490208414311352,"positive","negative"
"SPRUCE 2053","RP_8.516_384.11481","SPRUCE 556",0.000679963810520542,0.00283107531487617,"positive","positive"
"SPRUCE 689","RP_17.086_297.14839","SPRUCE 2021",-0.000569964494018797,0.010909442385264,"negative","positive"
"SPRUCE 689","RP_20.847_292.26333","SPRUCE 556",-0.00809261789192676,-0.00218015783379697,"negative","negative"
"SPRUCE 689","RP_1.94_174.08719","SPRUCE 510",0.0512351592691475,-0.0126424938111675,"positive","negative"
"SPRUCE 689","RP_1.486_96.0443","SPRUCE 2021",0.000699073599218027,0.0127292744085815,"positive","positive"
"SPRUCE 124","RP_13.067_419.16988","SPRUCE 2026",-0.0158393978904914,-0.0188009630531648,"negative","negative"
"SPRUCE 124","RP_13.067_419.16988","SPRUCE 556",-0.0158393978904914,0.149910175189532,"negative","positive"
"SPRUCE 124","RP_9.29_291.0861","SPRUCE 510",0.0220611946870164,-0.00811963791283123,"positive","negative"
"SPRUCE 124","RP_1.287_163.05997","SPRUCE 556",0.0684235869811798,-0.0530490543884044,"positive","negative"
"SPRUCE 124","RP_1.33_159.05116","SPRUCE 2026",0.0125001453907736,-0.02992605018743,"positive","negative"
"SPRUCE 2155","RP_10.233_344.17023","SPRUCE 2026",0.0160782146924239,-0.0485306265073524,"positive","negative"
"SPRUCE 2155","RP_19.948_313.10687","SPRUCE 2026",0.00886930496087391,-0.00407991754970862,"positive","negative"
"SPRUCE 2155","RP_18.205_289.17971","SPRUCE 556",-0.0762114896625166,-0.00503217042084702,"negative","negative"
"SPRUCE 2155","RP_13.775_259.09636","SPRUCE 556",-0.0056780459744212,0.0126992292857391,"negative","positive"
"SPRUCE 2155","RP_5.641_174.12357","SPRUCE 510",0.00302737123555487,-0.0490208414311352,"positive","negative"
"SPRUCE 675","RP_20.132_283.20546","SPRUCE 2021",0.000603545402343638,-0.0930558952422088,"positive","negative"
"SPRUCE 675","RP_9.38_111.08032","SPRUCE 556",0.0284362472713409,0.0144941404639334,"positive","positive"
"SPRUCE 356","RP_10.233_344.17023","SPRUCE 2026",0.00727521786253811,-0.0485306265073524,"positive","negative"
"SPRUCE 2148","RP_7.195_166.08615","SPRUCE 2026",-0.000883703824293484,0.0356198313591202,"negative","positive"
"SPRUCE 2148","RP_7.195_166.08615","SPRUCE 556",-0.000883703824293484,0.032749268175972,"negative","positive"
"SPRUCE 2159","RP_9.29_291.0861","SPRUCE 510",0.0202327052700449,-0.00811963791283123,"positive","negative"
"SPRUCE 2042","RP_6.946_232.15416","SPRUCE 2026",0.120021459923393,-0.0623201286852181,"positive","negative"
"SPRUCE 2042","RP_6.946_232.15416","SPRUCE 2021",0.120021459923393,-0.322531519923639,"positive","negative"
"SPRUCE 2057","RP_1.33_159.05116","SPRUCE 2026",0.00610959087063349,-0.02992605018743,"positive","negative"
"SPRUCE 190","RP_12.265_363.10731","SPRUCE 2021",-0.0100421158578375,-0.00882613172769356,"negative","negative"
"SPRUCE 190","RP_9.29_291.0861","SPRUCE 510",0.0136246674430171,-0.00811963791283123,"positive","negative"
"SPRUCE 190","RP_1.422_246.06062","SPRUCE 2026",0.0964264059132992,-0.0641940173720847,"positive","negative"
"SPRUCE 190","RP_2.966_204.0865","SPRUCE 556",-0.0352724934985218,-0.0243993490089963,"negative","negative"
"SPRUCE 2183","RP_1.475_522.20255","SPRUCE 2021",0.0596656630800637,-0.0390506603728314,"positive","negative"
"SPRUCE 2191","RP_19.948_313.10687","SPRUCE 2026",0.0246855221796105,-0.00407991754970862,"positive","negative"
"SPRUCE 397","RP_1.475_522.20255","SPRUCE 2021",0.00703591922097429,-0.0390506603728314,"positive","negative"
"SPRUCE 397","RP_1.632_360.14986","SPRUCE 2026",0.00966887499483804,-0.020111343475154,"positive","negative"
"SPRUCE 397","RP_1.422_246.06062","SPRUCE 2026",1.70656862433331e-05,-0.0641940173720847,"positive","negative"
"SPRUCE 87","RP_1.475_522.20255","SPRUCE 2021",0.0366321050671881,-0.0390506603728314,"positive","negative"
"SPRUCE 87","RP_19.236_441.33598","SPRUCE 2021",0.00303258114289573,0.0161014592130368,"positive","positive"
"SPRUCE 87","RP_1.475_287.12348","SPRUCE 2021",0.0219291797159915,0.0261759062335856,"positive","positive"
